"","SoC","Exp"
"341",17905.3245653469,52923.0570085257
"342",15939.6177438093,43300.4117879814
"343",15935.1423683137,52947.1298241975
"344",16809.4397148918,54571.1616184138
"345",15734.4561816482,49322.1402840582
"346",18093.4390613324,50281.7931144374
"347",15631.7902034423,55046.2078024867
"348",17050.4311404547,58131.6965612145
"349",18959.8685817375,62413.694749171
"350",15946.6347743105,47214.6827400216
"351",15024.6482738346,50131.3134848193
"352",19394.0486446978,58177.6569875071
"353",15113.3621114462,43332.9134091014
"354",17053.9008837999,48917.7532502167
"355",17004.9821478449,50127.6345194935
"356",15865.6582299199,50502.026230593
"357",19245.5393252132,52407.1768851641
"358",18149.2292022127,48851.1812942929
"359",18571.8178376348,50111.6668485106
"360",15361.8264948698,49519.1028390356
"361",15702.4368960021,43002.079254987
"362",16301.3886172882,51384.6152520843
"363",17205.8670743448,40788.5827850801
"364",16259.5820723682,41433.0632826614
"365",20399.5083621961,53829.4768842656
"366",17287.438585274,52217.7962095507
"367",17620.4623964791,52891.3345310093
"368",16233.0825751346,50447.3318290574
"369",17798.8518969743,43614.0091989403
"370",17363.801167967,48265.0407097666
"371",16733.6492189781,48971.2718094189
"372",16440.3977615016,52394.8675592577
"373",16797.9043824562,46727.8301456277
"374",18327.5796175284,46714.3023524093
"375",15953.3799073087,44567.5724498157
"376",18217.0825778403,48683.6382384332
"377",17688.307175206,51609.8896299742
"378",15970.5906590988,44419.6489178098
"379",17218.5568898963,56093.5690362124
"380",18493.3328268121,47927.5400497404
"381",17067.3381737426,46828.1937689237
"382",17966.0368805156,50100.5078365629
"383",17963.8719485838,48574.9893499002
"384",17835.4596725522,49689.7496596179
"385",16934.5530915259,47231.7251899507
"386",17582.0737292062,49644.6014413704
"387",19361.5490482525,48419.4585313926
"388",19545.8186156672,59199.4694809953
"389",18479.5007571264,48011.5180240376
"390",17425.9297832187,48372.4186518765
"391",18164.7480719171,46186.5287663019
"392",18596.356815655,50079.2658929802
"393",15345.4144515075,39565.7962505261
"394",16671.6527928201,43357.6819108439
"395",20514.2916456657,62918.7253904513
"396",17186.2454699268,51452.8723130422
"397",18817.7297432384,55860.2891534086
"398",17037.2623722086,41482.2395849485
"399",18212.0833309505,57163.6655484814
"400",18987.3233842027,54730.4314126285
"401",16956.8389068099,50370.8412941343
"402",18262.6730490052,58066.6850546744
"403",16761.8955056317,47814.7800613391
"404",16020.9500840641,40910.0381282319
"405",17209.5818042265,47932.7753347543
"406",18635.3286213782,49864.7899558235
"407",19447.8106391382,55688.2525903396
